@relation DATOS_HORNO_ENTRENA

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23323013,D094B33,775,1.37,851,7130,68,230,792,800,812,842,865
23333001,B011B99,1003,0.961,1014,7540,63,244,814,819,810,840,864
23333002,B011F97,1228,0.67,2754,17860,52,244,810,790,791,821,840
23333003,B102G55,1050,0.65,3784,20340,81,259,809,790,789,819,834
23333005,C114G55,940,0.67,2626,13070,109,262,825,802,804,834,851
23333006,B102G55,1050,0.65,3403,18340,124,257,787,775,790,820,835
23333007,B102G55,1050,0.65,3427,18440,130,253,775,775,786,816,832
23333008,B012F53,1250,0.6,3819,22030,130,244,769,765,779,810,825
23333009,B012F53,1250,0.6,3802,21890,130,243,777,763,782,812,827
23333010,B012F53,1250,0.6,3701,21510,130,234,747,741,756,786,801
23333011,K011B55,1250,0.6,3771,21690,122,236,750,740,755,785,800
23333012,B012F53,1250,0.6,3757,21590,132,234,744,740,753,783,798
23333013,B012F53,1250,0.6,3768,21700,134,226,738,740,751,781,798
23333014,B012F53,1250,0.6,3755,21640,134,233,740,740,751,781,798
23333015,B012F53,1250,0.6,3761,21730,135,228,739,740,752,782,799
23333016,B012F53,1250,0.6,3744,21620,135,227,739,740,752,782,800
23333017,B012F53,1250,0.6,3736,21590,134,226,740,740,752,782,799
23333018,B012F53,1250,0.6,3712,21590,135,234,755,749,769,799,815
23333019,B012F53,1250,0.6,3687,21470,135,234,759,750,773,803,818
23333020,B012F53,1250,0.6,3711,21580,134,235,759,750,772,802,817
23333021,B012F53,1250,0.6,3807,21920,132,229,753,750,769,799,814
